latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,cp_code,cp_type,cp_system,cp_short_term,cp_free,cp_night,cp_decks,cp_gantry_height,cp_basement,geometry,dist_to_airfield,airfield,height_score_2020,density_500m,units_per_floor,est_land_use,is_point_block,nearest_train_stn,dist_to_train_stn,dist_to_city_centre
1995-08-22,1952.0,2,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286365781,103.8287899,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n,POINT (11558168.02134979 143209.6153003911),12139,paya lebar air base,-10.38,125,6.0,375.0,0,TIONG BAHRU MRT STATION,198,2535
1995-08-22,1952.0,16,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286986868,103.8296302,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n,POINT (11558261.5631179 143278.7718262314),12024,paya lebar air base,-8.93,126,6.0,375.0,0,TIONG BAHRU MRT STATION,303,2450
1996-02-08,1972.0,77,redhill rd,16,bm,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1,1.28841105,103.8169441,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n,POINT (11556849.35292575 143437.3510893367),13005,paya lebar air base,0.99,67,12.0,750.0,0,REDHILL MRT STATION,128,3870
1995-08-22,1952.0,4,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286986868,103.8296302,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n,POINT (11558261.5631179 143278.7718262314),12024,paya lebar air base,-8.93,126,6.0,375.0,0,TIONG BAHRU MRT STATION,303,2450
1995-08-22,1952.0,14,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286827152,103.8286595,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n,POINT (11558153.50528819 143260.9878367424),12116,paya lebar air base,-9.41,116,6.0,375.0,0,TIONG BAHRU MRT STATION,195,2555
1997-02-17,1974.0,127,kim tian rd,10,bm,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,1,1.281861427,103.8292926,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n,POINT (11558223.98165781 142708.0669484819),12440,paya lebar air base,-4.99,99,11.0,687.5,0,TIONG BAHRU MRT STATION,542,2479
1995-08-22,1952.0,6,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28652537,103.83012480000001,te30,surface car park,coupon parking,no,no,no,0,0.0,n,POINT (11558316.62173805 143227.3851455242),12018,paya lebar air base,-8.51,130,6.0,375.0,0,TIONG BAHRU MRT STATION,347,2389
1995-08-22,1952.0,5,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286365781,103.8287899,te30,surface car park,coupon parking,no,no,no,0,0.0,n,POINT (11558168.02134979 143209.6153003911),12139,paya lebar air base,-10.38,125,6.0,375.0,0,TIONG BAHRU MRT STATION,198,2535
2007-02-23,1949.0,17,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.276883151,103.8308839,te30,surface car park,coupon parking,no,no,no,0,0.0,n,POINT (11558401.12436351 142153.7496145541),12707,paya lebar air base,-7.63,35,5.75,441.875,0,OUTRAM PARK MRT STATION,1018,2426
1995-08-22,1952.0,8,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286986868,103.8296302,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558261.5631179 143278.7718262314),12024,paya lebar air base,-8.93,126,6.0,375.0,0,TIONG BAHRU MRT STATION,303,2450
1995-08-22,1952.0,10,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286358471,103.82962619999999,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558261.11783994 143208.8013497815),12071,paya lebar air base,-9.08,132,6.0,375.0,0,TIONG BAHRU MRT STATION,291,2442
1995-08-22,1952.0,13,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28684456,103.829123,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558205.10187217 143262.9261752956),12076,paya lebar air base,-9.41,126,6.0,375.0,0,TIONG BAHRU MRT STATION,245,2504
1995-08-22,1952.0,1,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286967542,103.8307277,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558383.73625905 143276.6199229141),11935,paya lebar air base,-7.31,121,6.0,375.0,0,TIONG BAHRU MRT STATION,421,2328
1997-02-17,1963.0,51,nile rd,10,bm,118.0,0.0,28.0,90.0,0.0,0.0,0.0,0.0,1,1.289946185,103.8276797,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558044.43445111 143608.2848031945),11970,paya lebar air base,-5.42,59,11.8,675.9,0,TIONG BAHRU MRT STATION,421,2723
1997-10-17,1972.0,137a,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.28969743,103.8082695,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11555883.70087091 143580.5865051719),13700,paya lebar air base,-0.28,39,8.11111111111111,526.5277777777778,0,QUEENSTOWN MRT STATION,629,4846
1997-10-17,1972.0,139,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.2730638459999999,103.80362029999999,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11555366.15429431 141728.4812403047),15222,paya lebar air base,-10.4,5,8.11111111111111,526.5277777777778,0,LABRADOR PARK MRT STATION,110,5463
2000-07-30,1968.0,70,telok blangah heights,11,bm,82.0,0.0,8.0,68.0,2.0,3.0,1.0,0.0,1,1.276318471,103.81071899999999,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11556156.37796361 142090.8741182474),14384,paya lebar air base,-8.87,52,7.454545454545454,475.3636363636364,0,TELOK BLANGAH MRT STATION,625,4615
2007-02-23,1952.0,27,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.277276965,103.8310934,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558424.44579683 142197.5996806432),12660,paya lebar air base,-9.35,31,2.75,171.875,0,OUTRAM PARK MRT STATION,983,2390
1995-08-22,1952.0,12,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286830114,103.83328709999999,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558668.64736378 143261.3176482528),11739,paya lebar air base,-4.49,90,6.0,375.0,0,TIONG BAHRU MRT STATION,701,2044
1995-08-22,1952.0,11,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286365781,103.8287899,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558168.02134979 143209.6153003911),12139,paya lebar air base,-10.38,125,6.0,375.0,0,TIONG BAHRU MRT STATION,198,2535
1997-02-17,1974.0,126,kim tian rd,10,bm,109.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,1,1.2825346690000001,103.82947,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558243.72973548 142783.0306752649),12374,paya lebar air base,-3.88,117,10.9,681.25,0,TIONG BAHRU MRT STATION,488,2453
1997-02-17,1963.0,53,nile rd,10,bm,120.0,0.0,30.0,90.0,0.0,0.0,0.0,0.0,1,1.289946185,103.8276797,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558044.43445111 143608.2848031945),11970,paya lebar air base,-5.42,59,12.0,684.0,0,TIONG BAHRU MRT STATION,421,2723
1997-02-17,1963.0,54,nile rd,10,bm,120.0,0.0,30.0,90.0,0.0,0.0,0.0,0.0,1,1.289841532,103.82842629999999,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558127.54558293 143596.6319316345),11915,paya lebar air base,-5.25,68,12.0,684.0,0,TIONG BAHRU MRT STATION,433,2640
1997-10-17,1972.0,136,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.289003462,103.80432929999999,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11555445.07981329 143503.314776275),14105,paya lebar air base,4.97,39,8.11111111111111,526.5277777777778,0,QUEENSTOWN MRT STATION,671,5273
2000-07-30,1968.0,71,telok blangah heights,11,bm,82.0,0.0,8.0,68.0,2.0,3.0,1.0,0.0,1,1.275767348,103.8110327,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11556191.29888787 142029.5081682699),14397,paya lebar air base,-7.96,52,7.454545454545454,475.3636363636364,0,TELOK BLANGAH MRT STATION,572,4593
2007-02-23,1952.0,22,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.2763686029999999,103.82947779999999,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558244.5980275 142096.4561719156),12856,paya lebar air base,-7.02,42,5.75,441.875,0,TIONG BAHRU MRT STATION,1120,2592
2007-02-23,1952.0,24,silat walk / kg bahru hill / silat rd,4,bm,15.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,1,1.2770770679999999,103.83142590000001,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558461.45952752 142175.341718785),12650,paya lebar air base,-8.28,32,3.75,261.875,0,OUTRAM PARK MRT STATION,954,2362
2007-02-23,1952.0,25,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.276390119,103.83027129999999,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558332.93004345 142098.8519165173),12794,paya lebar air base,-6.82,38,2.75,171.875,0,OUTRAM PARK MRT STATION,1100,2508
2007-02-23,1952.0,30,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.277276965,103.8310934,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n,POINT (11558424.44579683 142197.5996806432),12660,paya lebar air base,-9.35,31,2.75,171.875,0,OUTRAM PARK MRT STATION,983,2390
1995-08-22,1952.0,3,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28684456,103.829123,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n,POINT (11558205.10187217 143262.9261752956),12076,paya lebar air base,-9.41,126,6.0,375.0,0,TIONG BAHRU MRT STATION,245,2504
1995-08-22,1952.0,7,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286830114,103.83328709999999,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n,POINT (11558668.64736378 143261.3176482528),11739,paya lebar air base,-4.49,90,6.0,375.0,0,TIONG BAHRU MRT STATION,701,2044
1996-02-08,1972.0,67,redhill rd,16,bm,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1,1.288381067,103.8173911,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n,POINT (11556899.11273813 143434.0125530074),12967,paya lebar air base,0.58,66,12.0,750.0,0,REDHILL MRT STATION,145,3820
1997-10-17,1972.0,137,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.2736927120000001,103.80433590000001,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n,POINT (11555445.81452193 141798.5035757241),15116,paya lebar air base,-8.58,12,8.11111111111111,526.5277777777778,0,LABRADOR PARK MRT STATION,216,5370
1997-10-17,1972.0,138,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.290583531,103.80472759999999,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n,POINT (11555489.41836647 143679.2518290863),13971,paya lebar air base,2.53,49,8.11111111111111,526.5277777777778,0,QUEENSTOWN MRT STATION,490,5249
1997-10-17,1972.0,142,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.292703398,103.810959,te9,surface car park,coupon parking,whole day,no,yes,0,2.4,n,POINT (11556183.0946414 143915.2943206893),13265,paya lebar air base,-9.67,42,8.11111111111111,526.5277777777778,0,QUEENSTOWN MRT STATION,612,4606
