year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,latitude_x,longitude_x,geometry_x,car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,geometry_y,latitude_y,longitude_y,new_address
1966.0,6,chai chee rd,bd,8.5,0.0,24.5,59.5,0.0,0.0,0.0,84.0,30.0,"['6', '7']",2.0,1,1.3264735546242,103.92228378555099,POINT (11568575.71308161 147675.5531995058),B83,blk 21a chai chee rd,37899.5392,34299.8988,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,POINT (11568574.32261001 147675.0475538823),1.3264690135495145,103.92227129473213,blk 21a chai chee rd
1966.0,7,chai chee rd,bd,8.5,0.0,24.5,59.5,0.0,0.0,0.0,84.0,30.0,"['6', '7']",2.0,1,1.3232895991921398,103.924149636605,POINT (11568783.41867083 147321.0221226843),B71,blk 29c chai chee ave,38125.3637,34059.3926,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,POINT (11568800.19812233 147432.8490110396),1.3242938891077893,103.9243003689824,blk 29c chai chee ave
1971.0,79,toa payoh ctrl,tp,10.0,0.0,0.0,374.0,0.0,0.0,0.0,374.0,26.0,['79'],1.0,1,1.33453129537677,103.84756569582198,POINT (11560258.13337993 148572.7786990501),TP17,blk 177-179 toa payoh town centre,29699.9143,35107.3661,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.4,N,POINT (11560372.52348424 148488.3452583583),1.3337730224911744,103.84859327961253,blk 177-179 toa payoh town centre 177 178 179
1973.0,89,toa payoh lorong 2,tp,10.0,0.0,0.0,198.0,0.0,0.0,0.0,198.0,24.0,['89'],1.0,1,1.33628706847823,103.84651378290701,POINT (11560141.03496987 148768.2835662744),TPM5,blk 84c lor 2 toa payoh,29560.4287,35333.5642,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.0,N,POINT (11560233.00162819 148716.1292167305),1.3358186853562588,103.84733993345499,blk 84c lor 2 toa payoh
1979.0,454,ang mo kio ave 10,amk,12.0,0.0,0.0,121.0,22.0,0.0,0.0,143.0,18.0,"['454', '455']",2.0,1,1.36687411249442,103.854668941219,POINT (11561048.8630405 152174.1653562577),A38,blk 407  /  410  /  421 ang mo kio ave 10,30367.0774,38445.7028,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N,POINT (11561039.8953084 151850.0883450208),1.3639637058040253,103.85458838271092,blk 407 / 410 / 421 ang mo kio ave 10
1979.0,455,ang mo kio ave 10,amk,12.0,0.0,0.0,121.0,22.0,0.0,0.0,143.0,18.0,"['454', '455']",2.0,1,1.36777221427589,103.85814921044,POINT (11561436.28483801 152274.1700644615),A44,blk 459  /  456 ang mo kio st 44,30856.9781,38804.1956,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,POINT (11561529.93771287 152211.0928360138),1.367205743273231,103.8589905085289,blk 459 / 456 ang mo kio st 44
1974.0,126,kim tian rd,bm,10.0,0.0,0.0,109.5,0.0,0.0,0.0,109.5,23.0,"['126', '127']",2.0,1,1.28253466931817,103.82947001504,POINT (11558243.73140972 142783.0307106929),KTM6,blk 127 kim tian rd,27546.4706,29366.694,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,POINT (11558218.50945981 142707.5130139951),1.2818564521671447,103.82924344240905,blk 127 kim tian rd
1974.0,127,kim tian rd,bm,10.0,0.0,0.0,109.5,0.0,0.0,0.0,109.5,23.0,"['126', '127']",2.0,1,1.28186142731103,103.829292612773,POINT (11558223.98307969 142708.0669831153),KTM6,blk 127 kim tian rd,27546.4706,29366.694,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,POINT (11558218.50945981 142707.5130139951),1.2818564521671447,103.82924344240905,blk 127 kim tian rd
1963.0,51,nile rd,bm,10.0,0.0,29.33333333333333,90.0,0.0,0.0,0.0,119.33333333333331,34.0,"['51', '53', '54']",3.0,1,1.2898415322444898,103.828426273952,POINT (11558127.54268328 143596.6319588592),H4,blk 22 havelock rd,27560.7129,30056.3984,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.0,N,POINT (11558232.75423126 143402.0368452865),1.288093896932111,103.82937140536818,blk 22 havelock rd
1963.0,53,nile rd,bm,10.0,0.0,29.33333333333333,90.0,0.0,0.0,0.0,119.33333333333331,34.0,"['51', '53', '54']",3.0,1,1.28994618456456,103.82767972048201,POINT (11558044.43673115 143608.2847547093),H17,blk 28a beo cres,27392.1841,30064.5769,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.0,N,POINT (11558064.18310177 143410.2721894812),1.2881678575922197,103.82785710514734,blk 28a beo cres
