latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,car_park_no,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
1995-08-22,1952.0,2,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286365781,103.8287899,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
1995-08-22,1952.0,16,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286986868,103.8296302,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
1996-02-08,1972.0,77,redhill rd,16,bm,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1,1.28841105,103.8169441,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
1995-08-22,1952.0,4,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286986868,103.8296302,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
1995-08-22,1952.0,14,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286827152,103.8286595,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
1997-02-17,1974.0,127,kim tian rd,10,bm,110.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,1,1.281861427,103.8292926,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
1995-08-22,1952.0,6,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28652537,103.8301248,te30,surface car park,coupon parking,no,no,no,0,0.0,n
1995-08-22,1952.0,5,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286365781,103.8287899,te30,surface car park,coupon parking,no,no,no,0,0.0,n
2007-02-23,1949.0,17,silat walk / kg bahru hill / silat rd,4,bm,23.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1,1.276883151,103.8308839,te30,surface car park,coupon parking,no,no,no,0,0.0,n
1995-08-22,1952.0,8,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286986868,103.8296302,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,10,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286358471,103.8296262,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,13,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.28684456,103.829123,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,1,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286967542,103.8307277,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1997-02-17,1963.0,51,nile rd,10,bm,118.0,0.0,28.0,90.0,0.0,0.0,0.0,0.0,1,1.289946185,103.8276797,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1997-10-17,1972.0,137a,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.28969743,103.8082695,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1997-10-17,1972.0,139,alexandra rd / tiong bahru rd,18,bm,146.0,0.0,5.0,126.0,13.0,2.0,0.0,0.0,1,1.273063846,103.8036203,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2000-07-30,1968.0,70,telok blangah heights,11,bm,82.0,0.0,8.0,68.0,2.0,3.0,1.0,0.0,1,1.276318471,103.810719,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2007-02-23,1952.0,27,silat walk / kg bahru hill / silat rd,4,bm,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1,1.277276965,103.8310934,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,12,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286830114,103.8332871,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1995-08-22,1952.0,11,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1,1.286365781,103.8287899,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
1997-02-17,1974.0,126,kim tian rd,10,bm,109.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,1,1.282534669,103.82947,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
