year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished
1966.0,6,chai chee rd,bd,8.5,0.0,24.5,59.5,0.0,0.0,0.0,84.0,30.0,"['6', '7']",2.0,1
1966.0,7,chai chee rd,bd,8.5,0.0,24.5,59.5,0.0,0.0,0.0,84.0,30.0,"['6', '7']",2.0,1
1971.0,79,toa payoh central,tp,10.0,0.0,0.0,374.0,0.0,0.0,0.0,374.0,26.0,['79'],1.0,1
1973.0,89,toa payoh lorong 2,tp,10.0,0.0,0.0,198.0,0.0,0.0,0.0,198.0,24.0,['89'],1.0,1
1979.0,454,ang mo kio ave 10,amk,12.0,0.0,0.0,121.0,22.0,0.0,0.0,143.0,18.0,"['454', '455']",2.0,1
1979.0,455,ang mo kio ave 10,amk,12.0,0.0,0.0,121.0,22.0,0.0,0.0,143.0,18.0,"['454', '455']",2.0,1
1974.0,126,kim tian rd,bm,10.0,0.0,0.0,109.5,0.0,0.0,0.0,109.5,23.0,"['126', '127']",2.0,1
1974.0,127,kim tian rd,bm,10.0,0.0,0.0,109.5,0.0,0.0,0.0,109.5,23.0,"['126', '127']",2.0,1
1963.0,51,nile rd,bm,10.0,0.0,29.333333333333332,90.0,0.0,0.0,0.0,119.33333333333333,34.0,"['51', '53', '54']",3.0,1
1963.0,53,nile rd,bm,10.0,0.0,29.333333333333332,90.0,0.0,0.0,0.0,119.33333333333333,34.0,"['51', '53', '54']",3.0,1
1963.0,54,nile rd,bm,10.0,0.0,29.333333333333332,90.0,0.0,0.0,0.0,119.33333333333333,34.0,"['51', '53', '54']",3.0,1
1979.0,580,ang mo kio ave 3,amk,13.0,0.0,0.0,122.0,23.333333333333332,0.0,0.0,145.33333333333334,18.0,"['580', '581', '582']",3.0,1
1979.0,581,ang mo kio ave 3,amk,13.0,0.0,0.0,122.0,23.333333333333332,0.0,0.0,145.33333333333334,18.0,"['580', '581', '582']",3.0,1
1979.0,582,ang mo kio ave 3,amk,13.0,0.0,0.0,122.0,23.333333333333332,0.0,0.0,145.33333333333334,18.0,"['580', '581', '582']",3.0,1
1975.0,24,dover cres,qt,14.0,0.0,0.0,73.5,65.0,0.0,0.0,138.5,22.0,"['24', '28']",2.0,1
1975.0,28,dover cres,qt,14.0,0.0,0.0,73.5,65.0,0.0,0.0,138.5,22.0,"['24', '28']",2.0,1
1971.0,3,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333334,0.0,0.0,58.333333333333336,26.0,"['3', '4', '5']",3.0,1
1971.0,4,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333334,0.0,0.0,58.333333333333336,26.0,"['3', '4', '5']",3.0,1
1971.0,5,syed alwi rd,kwn,17.0,0.0,0.0,44.0,14.333333333333334,0.0,0.0,58.333333333333336,26.0,"['3', '4', '5']",3.0,1
1974.0,20,upper boon keng rd,kwn,16.0,0.0,0.0,277.0,0.0,4.0,0.0,281.0,31.0,['20'],1.0,1
1977.0,54,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666666,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1
1977.0,56,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666666,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1
1977.0,57,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666666,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1
1977.0,59,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666666,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1
1977.0,60,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666666,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1
1977.0,62,sims dr,gl,12.5,0.0,0.0,64.5,106.0,2.1666666666666665,0.0,172.66666666666666,28.0,"['54', '56', '57', '59', '60', '62']",6.0,1
1973.0,5,yung ping rd,jw,11.0,0.0,0.0,101.66666666666667,0.0,1.5,0.0,103.16666666666667,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1
1973.0,6,yung ping rd,jw,11.0,0.0,0.0,101.66666666666667,0.0,1.5,0.0,103.16666666666667,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1
1973.0,7,yung ping rd,jw,11.0,0.0,0.0,101.66666666666667,0.0,1.5,0.0,103.16666666666667,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1
1973.0,8,yung ping rd,jw,11.0,0.0,0.0,101.66666666666667,0.0,1.5,0.0,103.16666666666667,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1
1973.0,9,yung ping rd,jw,11.0,0.0,0.0,101.66666666666667,0.0,1.5,0.0,103.16666666666667,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1
1973.0,10,yung ping rd,jw,11.0,0.0,0.0,101.66666666666667,0.0,1.5,0.0,103.16666666666667,33.0,"['5', '6', '7', '8', '9', '10']",6.0,1
1976.0,180,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1
1976.0,181,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1
1976.0,182,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1
1976.0,184,boon lay dr,jw,9.5,0.0,0.0,0.0,144.5,0.0,0.0,144.5,30.0,"['180', '181', '182', '184']",4.0,1
1975.0,216,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1
1975.0,217,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1
1975.0,219,boon lay ave,jw,10.5,0.0,0.0,0.0,169.0,0.0,0.0,169.0,31.0,"['216', '217', '219', '220']",4.0,1
