year_completed,blk_no,street,bldg_contract_town,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units,age_announced,cluster,num_of_blocks,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
1966.0,6,chai chee rd,bd,8.5,0.0,24.5,59.5,0.0,0.0,0.0,84.0,30.0,"['6', '7']",2.0,1,MULTI STOREY CAR PARK,21A,CHAI CHEE ROAD,MULTI STOREY CAR PARK,21A CHAI CHEE ROAD MULTI STOREY CAR PARK SINGAPORE 462021,462021,37900.9292850792,34300.400979310296,1.3264735546242,103.92228378555099,103.92228378555099
1966.0,7,chai chee rd,bd,8.5,0.0,24.5,59.5,0.0,0.0,0.0,84.0,30.0,"['6', '7']",2.0,1,25A CHAI CHEE ROAD SINGAPORE 461025,25A,CHAI CHEE ROAD,NIL,25A CHAI CHEE ROAD SINGAPORE 461025,461025,38108.5927455379,33948.3426193967,1.3232895991921398,103.924149636605,103.924149636605
1971.0,79,toa payoh central,tp,10.0,0.0,0.0,374.0,0.0,0.0,0.0,374.0,26.0,['79'],1.0,1,CENTRAL HORIZON,79A,TOA PAYOH CENTRAL,CENTRAL HORIZON,79A TOA PAYOH CENTRAL CENTRAL HORIZON SINGAPORE 311079,311079,29585.5544920852,35191.2113491371,1.33453129537677,103.84756569582198,103.84756569582198
1973.0,89,toa payoh lorong 2,tp,10.0,0.0,0.0,198.0,0.0,0.0,0.0,198.0,24.0,['89'],1.0,1,OCBC TOA PAYOH LORONG 2 - ESSO STATION,399,LORONG 2 TOA PAYOH,OCBC TOA PAYOH LORONG 2 - ESSO STATION,399 LORONG 2 TOA PAYOH OCBC TOA PAYOH LORONG 2 - ESSO STATION SINGAPORE 319640,319640,29468.486587709704,35385.3551001139,1.33628706847823,103.84651378290701,103.84651378290701
1979.0,454,ang mo kio ave 10,amk,12.0,0.0,0.0,121.0,22.0,0.0,0.0,143.0,18.0,"['454', '455']",2.0,1,444A ANG MO KIO AVENUE 10 SINGAPORE 561444,444A,ANG MO KIO AVENUE 10,NIL,444A ANG MO KIO AVENUE 10 SINGAPORE 561444,561444,30376.039753265697,38767.5208488069,1.36687411249442,103.854668941219,103.854668941219
1979.0,455,ang mo kio ave 10,amk,12.0,0.0,0.0,121.0,22.0,0.0,0.0,143.0,18.0,"['454', '455']",2.0,1,456A ANG MO KIO AVENUE 10 SINGAPORE 561456,456A,ANG MO KIO AVENUE 10,NIL,456A ANG MO KIO AVENUE 10 SINGAPORE 561456,561456,30763.3510522069,38866.8321010713,1.36777221427589,103.85814921044,103.85814921044
1974.0,126,kim tian rd,bm,10.0,0.0,0.0,109.5,0.0,0.0,0.0,109.5,23.0,"['126', '127']",2.0,1,KIM TIAN GREEN,126,KIM TIAN ROAD,KIM TIAN GREEN,126 KIM TIAN ROAD KIM TIAN GREEN SINGAPORE 160126,160126,27571.686393452797,29441.687708411402,1.28253466931817,103.82947001504,103.82947001504
1974.0,127,kim tian rd,bm,10.0,0.0,0.0,109.5,0.0,0.0,0.0,109.5,23.0,"['126', '127']",2.0,1,KIM TIAN GREEN,127,KIM TIAN ROAD,KIM TIAN GREEN,127 KIM TIAN ROAD KIM TIAN GREEN SINGAPORE 160127,160127,27551.9428600855,29367.244117014103,1.28186142731103,103.829292612773,103.829292612773
1963.0,51,nile rd,bm,10.0,0.0,29.33333333333333,90.0,0.0,0.0,0.0,119.33333333333331,34.0,"['51', '53', '54']",3.0,1,HAVELOCK VIEW,,NIL,HAVELOCK VIEW,HAVELOCK VIEW,NIL,27455.5281327926,30249.6430747025,1.2898415322444898,103.828426273952,103.828426273952
1963.0,53,nile rd,bm,10.0,0.0,29.33333333333333,90.0,0.0,0.0,0.0,119.33333333333331,34.0,"['51', '53', '54']",3.0,1,HAVELOCK VIEW,51,HAVELOCK ROAD,HAVELOCK VIEW,51 HAVELOCK ROAD HAVELOCK VIEW SINGAPORE 161051,161051,27372.4431228479,30261.215160505802,1.2899461845645601,103.82767972048201,103.82767972048201
