latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished
1995-08-22,1952.0,2,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,4,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,6,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,8,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,10,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,12,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,13,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,1,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,3,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,5,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,7,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,9,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,11,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,14,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,15,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-08-22,1952.0,16,boon tiong rd / tiong bahru rd,4,bm,24.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1
1995-09-01,1971.0,145,lor 2 toa payoh,4,tp,82.0,0.0,0.0,65.0,17.0,0.0,0.0,0.0,1
1995-09-01,1971.0,147,lor 2 toa payoh,4,tp,82.0,0.0,0.0,65.0,17.0,0.0,0.0,0.0,1
1995-09-01,1971.0,151,lor 2 toa payoh,4,tp,82.0,0.0,0.0,65.0,17.0,0.0,0.0,0.0,1
1995-09-01,1971.0,152,lor 2 toa payoh,12,tp,154.0,0.0,0.0,0.0,154.0,0.0,0.0,0.0,1
1995-11-08,1975.0,103,depot rd,14,bm,176.0,0.0,0.0,0.0,176.0,0.0,0.0,0.0,1
1995-11-08,1975.0,110,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1
1995-11-08,1975.0,111,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1
1995-11-08,1975.0,105,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1
1995-11-08,1975.0,107,depot rd,11,bm,165.0,0.0,0.0,164.0,0.0,1.0,0.0,0.0,1
1995-11-08,1975.0,112,depot rd,11,bm,167.0,0.0,0.0,166.0,0.0,1.0,0.0,0.0,1
1996-02-08,1970.0,71,redhill rd,10,bm,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1996-02-08,1970.0,72,redhill rd,10,bm,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1996-02-08,1972.0,67,redhill rd,16,bm,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1
1996-02-08,1972.0,77,redhill rd,16,bm,192.0,0.0,0.0,192.0,0.0,0.0,0.0,0.0,1
1996-04-30,1969.0,6a,margaret dr,16,queenstown,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1
1996-04-30,1969.0,6b,margaret dr,16,queenstown,108.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,1
1996-04-30,1956.0,39,forfar house,14,queenstown,106.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,1
1996-05-27,1966.0,6,chai chee rd,5,bd,40.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,1
1996-05-28,1967.0,7,chai chee rd,12,bd,128.0,0.0,49.0,79.0,0.0,0.0,0.0,0.0,1
1996-06-30,1978.0,309,ang mo kio ave 1,12,amk,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,1
