Site,date_announced,Town,street,orig_blk_no,year_completed,max_floor_lvl,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,total_dwelling_units
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",2,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",4,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",6,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",8,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",10,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",12,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",13,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",1,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",3,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",5,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",7,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",9,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",11,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",14,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",15,1952,4,0,0,24,0,0,0,24
1,22 Aug 1995,Bukit Merah - Tiong Bahru,"Boon Tiong Road /
Tiong Bahru Road",16,1952,4,0,0,24,0,0,0,24
2,1 Sep 1995,Toa Payoh,Lorong 2 Toa Payoh,145,1971,4,0,0,65,17,0,0,82
2,1 Sep 1995,Toa Payoh,Lorong 2 Toa Payoh,147,1971,4,0,0,65,17,0,0,82
2,1 Sep 1995,Toa Payoh,Lorong 2 Toa Payoh,151,1971,4,0,0,65,17,0,0,82
2,1 Sep 1995,Toa Payoh,Lorong 2 Toa Payoh,152,1971,12,0,0,0,154,0,0,154
3,8 Nov 1995,Bukit Merah,Depot Road,103,1975,14,0,0,0,176,0,0,176
3,8 Nov 1995,Bukit Merah,Depot Road,110,1975,11,0,0,164,0,1,0,165
3,8 Nov 1995,Bukit Merah,Depot Road,111,1975,11,0,0,164,0,1,0,165
3,8 Nov 1995,Bukit Merah,Depot Road,105,1975,11,0,0,164,0,1,0,165
3,8 Nov 1995,Bukit Merah,Depot Road,107,1975,11,0,0,164,0,1,0,165
3,8 Nov 1995,Bukit Merah,Depot Road,112,1975,11,0,0,166,0,1,0,167
4,8 Feb 1996,Bukit Merah,Redhill Road,71,1970,10,136,0,0,0,0,0,136
4,8 Feb 1996,Bukit Merah,Redhill Road,72,1970,10,92,0,0,0,0,0,92
4,8 Feb 1996,Bukit Merah,Redhill Road,67,1972,16,0,0,192,0,0,0,192
4,8 Feb 1996,Bukit Merah,Redhill Road,77,1972,16,0,0,192,0,0,0,192
5,30 Apr 1996,Queenstown,Margaret Drive,6A,1969,16,0,0,108,0,0,0,108
5,30 Apr 1996,Queenstown,Margaret Drive,6B,1969,16,0,0,108,0,0,0,108
5,30 Apr 1996,Queenstown,Forfar House,39,1956,14,0,0,106,0,0,0,106
