latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,latitude,longitude,car_park_no,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
2020-04-24,1937,59,eng hoon st,3,bm,42,0,0,8,34,0,0,0,0,1.284147991,103.8334364,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,57,eng hoon st,3,bm,27,0,0,13,14,0,0,0,0,1.284805861,103.833476,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,56,eng hoon st,3,bm,39,0,0,17,22,0,0,0,0,1.28424137,103.8339231,te23,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,78,moh guan ter,5,bm,70,0,6,29,35,0,0,0,0,1.283633273,103.8304925,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1937,78,guan chuan st,5,bm,48,0,0,8,40,0,0,0,0,1.283326114,103.8310145,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1937,80,chay yan st,5,bm,41,0,14,15,12,0,0,0,0,1.282890542,103.8312361,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1949,36,moh guan ter,4,bm,16,0,0,16,0,0,0,0,0,1.284881937,103.83104240000002,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1949,50,moh guan ter,4,bm,22,0,0,20,2,0,0,0,0,1.28407985,103.8305255,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1949,43,moh guan ter,4,bm,15,0,6,8,1,0,0,0,0,1.284670567,103.8310493,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1949,47,moh guan ter,4,bm,16,0,8,8,0,0,0,0,0,1.284205817,103.8310634,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1949,48,moh guan ter,4,bm,15,0,8,7,0,0,0,0,0,1.283991598,103.8310708,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1949,44,moh guan ter,4,bm,16,0,8,8,0,0,0,0,0,1.284420207,103.8310569,te13,surface car park,electronic parking,whole day,sun & ph fr 7am-10.30pm,yes,0,9.99,n
2020-04-24,1937,77,seng poh rd,3,bm,24,0,2,15,7,0,0,0,0,1.283466901,103.8315227,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,72,seng poh rd,3,bm,24,0,2,15,7,0,0,0,0,1.283844174,103.8319984,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1938,71,seng poh rd,3,bm,15,0,2,6,7,0,0,0,0,1.284246552,103.8325036,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1938,58,seng poh rd,3,bm,11,0,0,0,8,2,1,0,0,1.284622388,103.8329783,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,17,seng poh rd,4,bm,16,0,0,12,4,0,0,0,0,1.285296918,103.8332353,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,46,seng poh rd,4,bm,16,0,0,16,0,0,0,0,0,1.284003917,103.8315298,te27,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,78,yong siak st,5,bm,48,0,0,8,40,0,0,0,0,1.282857021,103.8304229,te30,surface car park,coupon parking,no,no,no,0,0.0,n
2020-04-24,1937,76,guan chuan st,3,bm,42,0,0,8,34,0,0,0,0,1.283036951,103.8317782,te21,surface car park,coupon parking,no,no,no,0,0.0,n
2020-04-24,1937,73,eng watt st,3,bm,42,0,0,8,34,0,0,0,0,1.283370367,103.8324565,te22,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,66,eng watt st,3,bm,38,0,0,8,30,0,0,0,0,1.283810452,103.8327599,te22,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1937,75,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0,1.282559382,103.8322338,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2020-04-24,1937,74,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0,1.282936929,103.8327095,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2020-04-24,1937,82,tiong poh rd,4,bm,58,0,6,17,35,0,0,0,0,1.283234715,103.8336811,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2020-04-24,1937,65,tiong poh rd,3,bm,23,0,2,14,7,0,0,0,0,1.283338204,103.8332145,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2020-04-24,1937,81,tiong poh rd,4,bm,40,0,0,17,21,2,0,0,0,1.282596694,103.8328788,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2020-04-24,1937,64,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0,1.283714847,103.8336902,te28,surface car park,coupon parking,whole day,sun & ph fr 7am-10.30pm,yes,0,0.0,n
2020-04-24,1937,79,chay yan st,5,bm,41,0,14,15,12,0,0,0,0,1.282544643,103.8308012,te29,surface car park,coupon parking,no,no,no,0,0.0,n
2020-04-24,1937,55,tiong bahru rd,3,bm,34,0,0,10,22,2,0,0,0,1.284413965,103.8341355,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,34,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,1.284899222,103.8315842,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,33,lim liak st,4,bm,23,0,0,22,1,0,0,0,0,1.285119168,103.8315772,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,17,tiong bahru rd,4,bm,32,0,0,20,12,0,0,0,0,1.285615264,103.8331163,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,29,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,1.285381443,103.8304007,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,28,tiong bahru rd,4,bm,12,0,0,12,0,0,0,0,0,1.285697382,103.8303912,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,22,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,1.285699484,103.8317118,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,37,lim liak st,4,bm,24,0,0,24,0,0,0,0,0,1.285084465,103.8304936,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,41,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,1.284690696,103.8315909,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,20,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,1.285754796,103.8321508,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,18,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,1.2857277809999998,103.8325924,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,35,lim liak st,4,bm,16,0,0,16,0,0,0,0,0,1.285101769,103.8310352,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,42,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0,1.28443457,103.831599,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
2020-04-24,1949,26,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0,1.285670557,103.8308321,te26,surface car park,coupon parking,whole day,no,yes,0,0.0,n
