latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished,SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,LONGTITUDE
2020-04-24,1937,69,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0,69 SENG POH LANE SINGAPORE 160069,69,SENG POH LANE,NIL,69 SENG POH LANE SINGAPORE 160069,160069,27940.70203,29620.0998,1.284148169,103.8327858,103.8327858
2020-04-24,1937,59,eng hoon st,3,bm,42,0,0,8,34,0,0,0,0,TIONG BAHRU ESTATE,59,ENG HOON STREET,TIONG BAHRU ESTATE,59 ENG HOON STREET TIONG BAHRU ESTATE SINGAPORE 160059,160059,28013.1071,29620.08015,1.284147991,103.83343640000001,103.83343640000001
2020-04-24,1937,78,moh guan ter,5,bm,70,0,6,29,35,0,0,0,0,78 MOH GUAN TERRACE SINGAPORE 162078,78,MOH GUAN TERRACE,NIL,78 MOH GUAN TERRACE SINGAPORE 162078,162078,27685.482330000003,29563.16548,1.283633273,103.8304925,103.8304925
2020-04-24,1937,67,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0,67 SENG POH LANE SINGAPORE 160067,67,SENG POH LANE,NIL,67 SENG POH LANE SINGAPORE 160067,160067,27974.960180000002,29553.651189999997,1.283547231,103.8330936,103.8330936
2020-04-24,1937,78,guan chuan st,5,bm,48,0,0,8,40,0,0,0,0,78 GUAN CHUAN STREET SINGAPORE 160078,78,GUAN CHUAN STREET,NIL,78 GUAN CHUAN STREET SINGAPORE 160078,160078,27743.580360000004,29529.20135,1.283326114,103.8310145,103.8310145
2020-04-24,1937,77,seng poh rd,3,bm,24,0,2,15,7,0,0,0,0,TIONG BAHRU ESTATE,77,SENG POH ROAD,TIONG BAHRU ESTATE,77 SENG POH ROAD TIONG BAHRU ESTATE SINGAPORE 161077,161077,27800.12958,29544.768839999997,1.283466901,103.83152270000001,103.83152270000001
2020-04-24,1937,78,yong siak st,5,bm,48,0,0,8,40,0,0,0,0,78 YONG SIAK STREET SINGAPORE 163078,78,YONG SIAK STREET,NIL,78 YONG SIAK STREET SINGAPORE 163078,163078,27677.738839999998,29477.331560000002,1.2828570209999999,103.8304229,103.8304229
2020-04-24,1937,57,eng hoon st,3,bm,27,0,0,13,14,0,0,0,0,TIONG BAHRU ESTATE,57,ENG HOON STREET,TIONG BAHRU ESTATE,57 ENG HOON STREET TIONG BAHRU ESTATE SINGAPORE 160057,160057,28017.525169999997,29692.82398,1.284805861,103.833476,103.833476
2020-04-24,1937,61,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0,61 SENG POH LANE SINGAPORE 160061,61,SENG POH LANE,NIL,61 SENG POH LANE SINGAPORE 160061,160061,27965.22112,29639.565769999997,1.284324212,103.8330061,103.8330061
2020-04-24,1937,76,guan chuan st,3,bm,42,0,0,8,34,0,0,0,0,TIONG BAHRU ESTATE,76,GUAN CHUAN STREET,TIONG BAHRU ESTATE,76 GUAN CHUAN STREET TIONG BAHRU ESTATE SINGAPORE 160076,160076,27828.56584,29497.227189999998,1.283036951,103.8317782,103.8317782
