latest_survival_date,year_completed,blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,other_sold,is_demolished
2020-04-24,1937,69,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,59,eng hoon st,3,bm,42,0,0,8,34,0,0,0,0
2020-04-24,1937,78,moh guan ter,5,bm,70,0,6,29,35,0,0,0,0
2020-04-24,1937,67,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,78,guan chuan st,5,bm,48,0,0,8,40,0,0,0,0
2020-04-24,1937,77,seng poh rd,3,bm,24,0,2,15,7,0,0,0,0
2020-04-24,1937,78,yong siak st,5,bm,48,0,0,8,40,0,0,0,0
2020-04-24,1937,57,eng hoon st,3,bm,27,0,0,13,14,0,0,0,0
2020-04-24,1937,61,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,76,guan chuan st,3,bm,42,0,0,8,34,0,0,0,0
2020-04-24,1937,73,eng watt st,3,bm,42,0,0,8,34,0,0,0,0
2020-04-24,1937,75,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0
2020-04-24,1937,74,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0
2020-04-24,1937,79,chay yan st,5,bm,41,0,14,15,12,0,0,0,0
2020-04-24,1937,72,seng poh rd,3,bm,24,0,2,15,7,0,0,0,0
2020-04-24,1937,56,eng hoon st,3,bm,39,0,0,17,22,0,0,0,0
2020-04-24,1937,62,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,82,tiong poh rd,4,bm,58,0,6,17,35,0,0,0,0
2020-04-24,1937,70,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,60,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,68,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,80,chay yan st,5,bm,41,0,14,15,12,0,0,0,0
2020-04-24,1937,55,tiong bahru rd,3,bm,34,0,0,10,22,2,0,0,0
2020-04-24,1937,63,seng poh lane,1,bm,0,0,0,0,0,0,0,0,0
2020-04-24,1937,66,eng watt st,3,bm,38,0,0,8,30,0,0,0,0
2020-04-24,1937,65,tiong poh rd,3,bm,23,0,2,14,7,0,0,0,0
2020-04-24,1937,81,tiong poh rd,4,bm,40,0,0,17,21,2,0,0,0
2020-04-24,1937,64,tiong poh rd,3,bm,24,0,2,15,7,0,0,0,0
2020-04-24,1938,71,seng poh rd,3,bm,15,0,2,6,7,0,0,0,0
2020-04-24,1938,58,seng poh rd,3,bm,11,0,0,0,8,2,1,0,0
2020-04-24,1949,34,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,33,lim liak st,4,bm,23,0,0,22,1,0,0,0,0
2020-04-24,1949,38,kim pong rd,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,36,moh guan ter,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,17,tiong bahru rd,4,bm,32,0,0,20,12,0,0,0,0
2020-04-24,1949,17,seng poh rd,4,bm,16,0,0,12,4,0,0,0,0
2020-04-24,1949,29,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,28,tiong bahru rd,4,bm,12,0,0,12,0,0,0,0,0
2020-04-24,1949,22,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,37,lim liak st,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,50,moh guan ter,4,bm,22,0,0,20,2,0,0,0,0
2020-04-24,1949,41,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,20,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,18,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,35,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,43,moh guan ter,4,bm,15,0,6,8,1,0,0,0,0
2020-04-24,1949,42,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,26,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,27,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,47,moh guan ter,4,bm,16,0,8,8,0,0,0,0,0
2020-04-24,1949,25,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,23,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,48,moh guan ter,4,bm,15,0,8,7,0,0,0,0,0
2020-04-24,1949,49,kim pong rd,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,46,seng poh rd,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,24,tiong bahru rd,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,44,moh guan ter,4,bm,16,0,8,8,0,0,0,0,0
2020-04-24,1949,19,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1949,45,kim cheng st,4,bm,24,0,0,24,0,0,0,0,0
2020-04-24,1949,21,lim liak st,4,bm,16,0,0,16,0,0,0,0,0
2020-04-24,1958,10,dakota cres,7,gl,53,0,0,0,0,0,0,53,0
2020-04-24,1958,21,old airport rd,3,gl,14,0,0,0,0,0,0,14,0
2020-04-24,1958,12,dakota cres,2,gl,9,0,0,0,0,0,0,9,0
2020-04-24,1958,20,dakota cres,7,gl,56,0,0,0,0,0,0,56,0
2020-04-24,1958,14,old airport rd,7,gl,56,0,0,0,0,0,0,56,0
2020-04-24,1958,13,old airport rd,3,gl,14,0,0,0,0,0,0,14,0
2020-04-24,1958,18,dakota cres,7,gl,56,0,0,0,0,0,0,56,0
2020-04-24,1958,16,dakota cres,3,gl,12,0,0,0,0,0,0,12,0
2020-04-24,1959,53,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,58,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0
2020-04-24,1959,50,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,59,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0
2020-04-24,1959,51,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,58,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,55,stirling rd,2,qt,6,0,0,6,0,0,0,0,0
2020-04-24,1959,55,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,57,jln ma'mor,2,kwn,7,0,0,7,0,0,0,0,0
2020-04-24,1959,52,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,54,jln ma'mor,2,kwn,10,0,0,10,0,0,0,0,0
2020-04-24,1959,56,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,53,stirling rd,2,qt,6,0,0,6,0,0,0,0,0
2020-04-24,1959,56,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,52,stirling rd,2,qt,6,0,0,6,0,0,0,0,0
2020-04-24,1959,50,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,57,stirling rd,2,qt,8,0,0,8,0,0,0,0,0
2020-04-24,1959,43,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,42,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,61,jln tenteram,2,kwn,9,0,0,9,0,0,0,0,0
2020-04-24,1959,44,jln bahagia,2,kwn,4,0,0,4,0,0,0,0,0
2020-04-24,1959,39,jln bahagia,2,kwn,7,0,0,7,0,0,0,0,0
2020-04-24,1959,41,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,65,jln ma'mor,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,49,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,62,jln ma'mor,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,48,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,60,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,47,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,40,jln bahagia,2,kwn,6,0,0,6,0,0,0,0,0
2020-04-24,1959,45,jln bahagia,2,kwn,4,0,0,4,0,0,0,0,0
2020-04-24,1959,46,jln bahagia,2,kwn,8,0,0,8,0,0,0,0,0
2020-04-24,1959,64,jln ma'mor,2,kwn,6,0,0,6,0,0,0,0,0
